Year,weight,Location_of_Residence,HH_Income,Head_of_HH_Age,Head_of_HH_Gender,Hispanic_Origin_of_HH,Head_of_HH_Race,Head_of_HH_RaceOrigin,HH_Size,Population_Size,HH_Region,Police_Notified,Agg_of_PropertyCrime,Type_of_Crime,Victim_Services,Location_of_Incident
2014,2874.85919,2,2,3,2,1,1,4,2,0,3,2,3,8,2,2
2014,2996.37633,1,7,3,2,2,1,1,2,4,4,2,3,8,2,1
2014,2689.09162,1,7,4,1,1,1,4,2,3,3,1,3,8,2,3
2014,1560.08962,2,7,4,2,2,1,1,2,1,4,2,3,8,2,5
2014,1886.82708,1,5,2,2,2,1,1,2,2,3,2,3,8,2,1
2014,1415.51338,2,4,3,1,2,1,1,2,0,3,2,3,6,2,1
2014,1415.51338,2,4,3,1,2,1,1,2,0,3,2,3,8,2,2
2014,3118.13321,3,88,2,1,2,1,1,2,1,3,2,3,8,2,1
2014,1541.45047,1,4,4,1,2,3,3,2,4,4,2,3,6,2,1
2014,1315.24887,2,1,4,2,2,2,2,2,1,4,2,3,8,2,3
2014,2884.13162,2,7,3,1,2,1,1,4,0,1,2,3,8,2,5
2014,2705.51058,3,88,3,1,2,1,1,2,0,1,2,3,8,2,3
2014,1828.06141,1,6,2,1,2,1,1,1,4,4,2,3,8,2,3
2014,1917.40984,1,7,2,1,1,1,4,3,1,1,2,3,8,2,1
2014,2669.71451,1,88,4,1,2,1,1,2,1,3,2,3,8,2,1
2014,3908.49129,3,3,1,2,2,1,1,1,1,2,1,3,6,2,1
2014,2983.4035,2,88,5,1,2,1,1,1,1,3,1,3,8,2,1
2014,2782.86115,2,7,4,2,2,1,1,2,0,2,1,3,8,1,1
2014,2605.47807,2,2,3,2,2,1,1,3,1,2,1,3,8,2,3
2014,3511.80545,3,5,5,2,2,2,2,3,1,3,1,3,8,2,1
2014,2969.70519,2,5,2,2,2,1,1,2,0,2,1,3,8,2,3
2014,3043.3081,2,5,3,1,2,1,1,3,1,2,2,3,8,2,1
2014,2779.19317,1,88,3,2,2,1,1,2,2,3,2,3,8,2,1
2014,3079.75402,1,1,1,2,2,1,1,2,1,2,1,3,8,2,4
2014,2660.47865,1,1,5,2,2,2,2,1,1,3,1,3,8,2,1
2014,2555.21848,2,6,5,2,2,1,1,1,1,2,2,3,8,2,3
2014,3487.64808,2,7,1,1,1,1,4,2,1,3,2,3,8,2,1
2014,2826.19668,2,5,2,2,1,1,4,3,0,3,2,3,8,2,1
2014,3385.11085,1,5,2,2,2,1,1,2,1,2,1,3,8,2,3
2014,2527.55221,2,6,2,2,1,1,4,1,1,3,2,3,8,2,1
2014,17470.67058,2,6,4,2,2,1,1,4,0,2,2,3,8,2,1
2014,2767.04697,2,6,3,1,2,1,1,3,1,2,1,3,8,2,1
2014,2819.45766,1,7,4,1,2,1,1,2,3,4,2,3,8,2,1
2014,2632.48539,2,6,3,2,2,1,1,3,0,3,2,3,8,2,1
2014,2853.22024,1,3,3,1,1,1,4,3,5,2,1,3,8,2,1
2014,3270.12519,1,6,2,2,2,1,1,3,2,2,1,3,8,2,3
2014,3886.13449,2,88,3,1,2,1,1,2,0,3,2,3,8,2,5
2014,3886.13449,2,88,3,1,2,1,1,2,0,3,1,3,8,2,1
2014,3470.339,1,4,2,1,2,1,1,1,2,2,1,3,6,2,1
2014,3592.63835,2,6,2,1,2,2,2,1,1,3,1,3,6,2,1
2014,2911.47851,1,88,4,2,2,1,1,1,1,2,2,3,6,2,1
2014,3133.91211,1,5,2,1,2,1,1,1,2,2,2,3,8,2,1
2014,3077.97749,2,88,3,1,2,1,1,3,1,2,2,3,8,2,1
2014,2481.06681,2,6,5,1,2,1,1,1,1,3,2,3,6,2,1
2014,2073.13182,2,4,4,1,2,2,2,2,2,3,2,3,8,2,1
2014,3346.83301,2,7,3,2,2,3,3,2,1,4,2,3,8,2,4
2014,2808.64968,2,6,3,2,1,1,4,3,1,4,1,3,6,2,1
2014,2715.44685,1,5,2,2,2,1,1,1,4,2,2,3,8,2,1
2014,2942.46384,3,3,4,2,2,1,1,2,1,4,2,3,8,2,2
2014,3265.56805,3,3,3,1,1,2,4,1,1,2,2,3,8,2,1
2014,3415.71997,2,7,2,1,2,1,1,2,0,4,2,3,8,2,1
2014,3415.71997,2,7,2,1,2,1,1,2,0,4,2,3,8,2,3
2014,2980.5321,2,88,4,1,2,1,1,2,1,2,2,3,8,2,3
2014,2605.26829,1,7,4,1,2,1,1,2,1,3,1,3,8,2,1
2014,3381.17341,3,2,2,1,2,1,1,2,0,3,2,3,8,2,1
2014,2968.14517,3,6,5,1,2,1,1,2,0,2,2,3,6,2,1
2014,3300.68751,1,6,5,2,2,1,1,2,2,1,1,3,6,2,1
2014,2506.77591,1,7,5,1,2,1,1,2,3,2,1,3,8,1,5
2014,2724.75713,2,4,4,1,2,1,1,1,1,1,2,3,8,2,3
2014,4806.55099,1,3,2,2,2,2,2,3,4,3,2,3,8,2,1
